,price
0,-0.8604370709874201
1,-1.1225643911774725
2,-1.6156221615771797
3,-2.804331385447238
4,-3.286755632305196
5,-2.8307548141003087
6,-2.2992205026470596
7,-1.653516185403201
8,-1.837799906507271
9,-1.8069429323877781
10,-2.150479238216997
11,-2.0992024055714755
12,-1.9353516609195882
13,-1.9238020794924113
14,-1.5767220844556564
15,-1.5788778210313947
16,-1.589404109186495
17,-1.3075095408845487
18,-1.051753021721674
19,-0.5314081135893167
20,-0.34493096225819325
21,-0.5172277558483189
22,-0.5314081135893167
23,-0.48777255737250597
24,-0.6312263862211821
25,-0.8497408019411381
26,-0.6090493786489362
27,-0.9131127984165694
28,-1.1419194264379824
29,-1.2235758903150422
30,-1.237947656549334
31,-0.9215899463473741
32,-0.868023323129754
33,-0.900741126986612
34,-0.8139445595212296
35,-0.9848609132031934
36,-0.8888195173236395
37,-0.5648687806127771
38,-0.9005851243795616
39,-0.9172374425242622
40,-0.9037781025340745
41,-0.9677009168414773
42,-0.8438323853915474
43,-0.6745481710570769
44,-0.5806345898031264
45,-0.38763929830177873
46,-0.5370106557687372
47,-0.6834478729137364
48,-0.6222328028386666
49,-0.44636663609190497
50,-0.21768961601191447
51,-0.0831946062761895
52,-0.11896209311639543
53,0.08806531251237334
54,-0.05255321920684217
55,0.01553795177542132
56,0.28463999408125634
57,0.2668726923139837
58,0.2873262299925184
59,0.3546801941681625
60,0.19526656381373236
61,0.3346642568270607
62,0.3449764128552397
63,0.6944987198162789
64,0.9031813075121127
65,1.1145429105851596
66,1.132664528684773
67,1.0999670769240484
68,0.7938164345353229
69,0.7309325336778782
70,0.7086413466178373
71,0.7469484875091974
72,0.7642313536537105
73,0.7798848623741461
74,1.065082197178862
75,1.5777942677840255
76,1.2251502943745771
77,1.078336295192269
78,1.1558274873262435
79,1.038341971453154
80,1.1510630544947245
81,1.2616307086735603
82,1.405587526268761
83,1.4396678885220189
84,1.4550030490886443
85,1.4396678885220189
86,1.4873631517022912
87,1.0870950314534493
88,1.1374199000997745
89,1.1139287389996997
90,1.0814709299700591
91,0.9990606897645827
92,1.0870950314534493
93,0.9362056296435911
94,1.0348360392059972
95,1.0166640796872766
96,0.8991394880872966
97,0.8842229206903782
98,1.1798691541253201
99,0.819410514228448
100,0.8055380674851618
101,0.8356836184480163
102,0.9641515520743444
103,1.0671285400132429
104,0.974994308426976
105,0.9496662502220635
106,0.5561963182152472
107,0.30621132823412295
108,0.3645980678642667
109,0.3791977419352493
110,0.2794108239726204
111,0.2444466746597213
112,0.2703371371250803
113,0.11507528792620009
114,0.2147123429376919
115,-0.14793823034122294
116,-0.20900691697477036
117,-0.2416910879603109
118,-0.20676887346133452
119,-0.20875247559155172
120,-0.3795311991543539
121,-0.2167725657037655
122,-0.06094352154995409
123,0.1407979472826284
124,0.22645132582117494
125,0.6268466478380302
126,0.6342398217344691
127,0.8240177988316459
128,0.6773227172636603
129,0.8948340928360824
130,0.6685178338612553
131,0.638424652170296
132,0.7390802524985669
133,0.6197205026471299
134,0.6339718638753546
135,0.7495624685608246
136,0.5029856988516275
137,0.27217477930220707
138,0.05328234467674647
139,0.0889875692858053
140,0.1407979472826284
141,0.09561617156527605
142,0.06406198522000679
143,0.16547489446689997
144,0.22778859519482694
145,0.2783897387789564
146,0.23203305587208806
147,0.21087921312921992
148,0.24784370985621532
149,0.22230856965361293
