Profit(0.3%) mean,return mean,win rate,times,Profit(0.3%)
1.9731124999999965,0.003717844647359472,1.0,4.0,7.892449999999986
1.9731124999999965,0.003717844647359472,1.0,4.0,7.892449999999986
0.7622374999999928,0.0028344692677851084,0.875,8.0,6.097899999999942
0.6873038461538443,0.0038990303559250095,0.7692307692307693,13.0,8.934949999999976
0.25110588235294046,0.002535215415423514,0.7647058823529411,17.0,4.268799999999988
0.34321578947368314,0.002686783953080473,0.7894736842105263,19.0,6.521099999999979
-0.5089700000000027,0.001408203083107887,0.75,20.0,-10.179400000000054
-0.29301904761904973,0.0016404149923408076,0.7619047619047619,21.0,-6.153400000000044
-0.2563818181818212,0.0014656634886465005,0.7272727272727273,22.0,-5.640400000000067
-0.28735880000000236,0.0007025770025017566,0.68,25.0,-7.183970000000059
-0.2722680769230796,0.0004112429928990942,0.6538461538461539,26.0,-7.078970000000069
-0.25341555555555706,0.0006464086303055978,0.6666666666666666,27.0,-6.84222000000004
-0.6425662068965537,8.927641720421085e-05,0.6551724137931034,29.0,-18.634420000000063
-0.5242232258064542,0.00016649899323701198,0.6451612903225806,31.0,-16.25092000000008
-0.5300631250000024,-6.653394879173043e-05,0.625,32.0,-16.962020000000074
-0.5298662857142885,-0.0001409681073359389,0.6,35.0,-18.545320000000096
-0.5298662857142885,-0.0001409681073359389,0.6,35.0,-18.545320000000096
-0.5298662857142885,-0.0001409681073359389,0.6,35.0,-18.545320000000096
-0.4766437837837856,0.00018894953173071916,0.6216216216216216,37.0,-17.635820000000066
-0.4552636842105278,0.00026141870415603044,0.631578947368421,38.0,-17.30002000000006
-0.4552636842105278,0.00026141870415603044,0.631578947368421,38.0,-17.30002000000006
-0.50448512820513,-0.00018025547109079538,0.6153846153846154,39.0,-19.67492000000007
-0.50448512820513,-0.00018025547109079538,0.6153846153846154,39.0,-19.67492000000007
-0.50448512820513,-0.00018025547109079538,0.6153846153846154,39.0,-19.67492000000007
-0.5348175609756108,-0.00044871557828376953,0.6097560975609756,41.0,-21.927520000000044
-0.5348175609756108,-0.00044871557828376953,0.6097560975609756,41.0,-21.927520000000044
-0.6081850000000012,-0.0006389595108475413,0.5952380952380952,42.0,-25.54377000000005
-0.6027365116279082,-0.0008294235490724443,0.5813953488372093,43.0,-25.917670000000047
-0.5674038636363649,-0.0007476745563192766,0.5909090909090909,44.0,-24.965770000000052
-0.5457926666666677,-0.0006857728888272663,0.6,45.0,-24.560670000000048
-0.5457926666666677,-0.0006857728888272663,0.6,45.0,-24.560670000000048
-0.5457926666666677,-0.0006857728888272663,0.6,45.0,-24.560670000000048
-0.5457926666666677,-0.0006857728888272663,0.6,45.0,-24.560670000000048
-0.5129656521739137,-0.0005555854085387155,0.6086956521739131,46.0,-23.596420000000027
-0.5129656521739137,-0.0005555854085387155,0.6086956521739131,46.0,-23.596420000000027
-0.5129656521739137,-0.0005555854085387155,0.6086956521739131,46.0,-23.596420000000027
-0.5024153191489369,-0.0005432495248058037,0.5957446808510638,47.0,-23.613520000000026
-0.8536327083333345,-0.001022181164323059,0.5833333333333334,48.0,-40.97437000000005
-0.8536327083333345,-0.001022181164323059,0.5833333333333334,48.0,-40.97437000000005
-0.8536327083333345,-0.001022181164323059,0.5833333333333334,48.0,-40.97437000000005
-0.8536327083333345,-0.001022181164323059,0.5833333333333334,48.0,-40.97437000000005
-0.8536327083333345,-0.001022181164323059,0.5833333333333334,48.0,-40.97437000000005
-0.8547708163265314,-0.0011559982024639099,0.5714285714285714,49.0,-41.88377000000004
-0.8547708163265314,-0.0011559982024639099,0.5714285714285714,49.0,-41.88377000000004
-0.8547708163265314,-0.0011559982024639099,0.5714285714285714,49.0,-41.88377000000004
-0.8547708163265314,-0.0011559982024639099,0.5714285714285714,49.0,-41.88377000000004
