Profit(0.3%) mean,return mean,win rate,times,Profit(0.3%)
0.2823539999999987,-0.0026915787367863793,0.4,5.0,1.4117699999999935
0.20836000000000152,-0.002406823112939285,0.42857142857142855,7.0,1.4585200000000107
0.5124063636363608,6.78094177002503e-05,0.6363636363636364,11.0,5.636469999999969
0.600221538461536,0.0007532582012901757,0.6923076923076923,13.0,7.802879999999968
0.4473814999999955,0.0008803081224601411,0.65,20.0,8.94762999999991
0.5833649999999925,0.0010982905894066542,0.6818181818181818,22.0,12.834029999999833
0.5580241666666593,0.0014230181468688605,0.7083333333333334,24.0,13.392579999999823
0.37107607142856536,0.0010746142476715976,0.6428571428571429,28.0,10.39012999999983
0.17180741935483612,0.000560759486322163,0.6129032258064516,31.0,5.326029999999919
0.1748165624999976,0.0006820919420113284,0.625,32.0,5.594129999999923
0.18974228571428392,0.001057388026597592,0.6571428571428571,35.0,6.640979999999937
0.19686333333333142,0.0011782144848227012,0.6666666666666666,36.0,7.087079999999931
0.19681297297297112,0.0012407429377757414,0.6756756756756757,37.0,7.282079999999931
0.16158763157894587,0.0011381728852586862,0.6578947368421053,38.0,6.140329999999944
0.2255919999999995,0.0012460983509303553,0.65,40.0,9.02367999999998
0.22173609756097498,0.0012075249445915911,0.6341463414634146,41.0,9.091179999999975
0.2460216279069753,0.0014015567186725273,0.627906976744186,43.0,10.578929999999938
0.0626734782608689,0.001147991309581216,0.6086956521739131,46.0,2.8829799999999697
0.02081340425531775,0.0010383490972374343,0.5957446808510638,47.0,0.9782299999999342
0.03983059999999927,0.0008893599914754297,0.58,50.0,1.9915299999999636
0.05783490196078374,0.0010096830800892015,0.5882352941176471,51.0,2.949579999999971
0.0315123636363631,0.0009294400856357299,0.5818181818181818,55.0,1.7331799999999706
0.0315123636363631,0.0009294400856357299,0.5818181818181818,55.0,1.7331799999999706
0.0315123636363631,0.0009294400856357299,0.5818181818181818,55.0,1.7331799999999706
-0.056952982456140645,0.000643674607256264,0.5614035087719298,57.0,-3.2463200000000167
-0.0843528813559326,0.0004837731541784281,0.5423728813559322,59.0,-4.976820000000023
-0.09803366666666719,0.0003049063366371777,0.5333333333333333,60.0,-5.882020000000031
-0.12204000000000048,3.0061743572505474e-05,0.5079365079365079,63.0,-7.688520000000031
-0.12204000000000048,3.0061743572505474e-05,0.5079365079365079,63.0,-7.688520000000031
-0.13383312500000052,-1.0917195217303996e-05,0.5,64.0,-8.565320000000034
-0.24972227272727263,-0.0002847735565370096,0.48484848484848486,66.0,-16.481669999999994
-0.24972227272727263,-0.0002847735565370096,0.48484848484848486,66.0,-16.481669999999994
-0.20514432835820848,-0.00022755690304704316,0.4925373134328358,67.0,-13.74466999999997
-0.2924901449275358,-0.0003210498062130941,0.4927536231884058,69.0,-20.181819999999973
-0.29085099999999964,-0.0003292998634499201,0.4857142857142857,70.0,-20.359569999999977
-0.3342861971830983,-0.0004255360890483951,0.4788732394366197,71.0,-23.734319999999983
-0.2915391666666658,-0.00038320373700692954,0.4861111111111111,72.0,-20.990819999999943
-0.3023235616438348,-0.0004745307333864131,0.4794520547945205,73.0,-22.069619999999944
-0.3023235616438348,-0.0004745307333864131,0.4794520547945205,73.0,-22.069619999999944
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
-0.2956266216216208,-0.00041688585741193494,0.4864864864864865,74.0,-21.876369999999937
